Beijing,北京市,Beijing,北京
Fuyang,富阳市,Zhejiang,浙江省
Haining,海宁市,Zhejiang,浙江省
Hangzhou,杭州市,Zhejiang,浙江省
Huzhou,湖州市,Zhejiang,浙江省
Jiande,建德市,Zhejiang,浙江省
Jiangshan,江山市,Zhejiang,浙江省
Jiaxing,嘉兴市,Zhejiang,浙江省
Jinhua,金华市,Zhejiang,浙江省
Lanxi,兰溪市,Zhejiang,浙江省
Longquan,龙泉市,Zhejiang,浙江省
Lin'an,临安市,Zhejiang,浙江省
Linhai,临海市,Zhejiang,浙江省
Lishui,丽水市,Zhejiang,浙江省
Ningbo,宁波市,Zhejiang,浙江省
Pinghu,平湖市,Zhejiang,浙江省
Quzhou,衢州市,Zhejiang,浙江省
Ruian,瑞安市,Zhejiang,浙江省
Shaoxing,绍兴市,Zhejiang,浙江省
Shengzhou,嵊州市,Zhejiang,浙江省
Taizhou,台州市,Zhejiang,浙江省
Tongxiang,桐乡市,Zhejiang,浙江省
Wenling,温岭市,Zhejiang,浙江省
Wenzhou,温州市,Zhejiang,浙江省
Yueqing,乐清市,Zhejiang,浙江省
Yongkang,永康市,Zhejiang,浙江省
Yiwu,义乌市,Zhejiang,浙江省
Yuyao,余姚市,Zhejiang,浙江省
Zhoushan,舟山市,Zhejiang,浙江省
Zhuji,诸暨市,Zhejiang,浙江省
